"";"x"
"1";"Zerynthia_polyxena"
"2";"Zerynthia_rumina"
"3";"Parnassius_apollonius"
"4";"Parnassius_honrathi"
"5";"Parnassius_actius"
"6";"Parnassius_jacquemontii"
"7";"Parnassius_nomion"
"8";"Parnassius_epaphus"
"9";"Parnassius_smintheus"
"10";"Parnassius_eversmanni"
"11";"Protesilaus_molops"
"12";"Protesilaus_protesilaus"
"13";"Graphium_angolanus"
"14";"Graphium_ridleyanus"
"15";"Graphium_latreillianus"
"16";"Graphium_leonidas"
"17";"Graphium_antiphates"
"18";"Graphium_agetes"
"19";"Graphium_arycles"
"20";"Graphium_evemon"
"21";"Graphium_agamemnon"
"22";"Graphium_macfarlanei"
"23";"Graphium_milon"
"24";"Graphium_sarpedon"
"25";"Battus_philenor"
"26";"Battus_belus"
"27";"Battus_crassus"
"28";"Pachliopta_liris"
"29";"Pachliopta_polydorus"
"30";"Byasa_impediens"
"31";"Byasa_plutonius"
"32";"Byasa_mencius"
"33";"Euryades_corethrus"
"34";"Euryades_duponchelii"
"35";"Parides_ascanius"
"36";"Parides_bunichus"
"37";"Parides_aeneas"
"38";"Parides_tros"
"39";"Parides_eurimedes"
"40";"Parides_zacynthus"
"41";"Parides_erithalion"
"42";"Parides_vertumnus"
"43";"Trogonoptera_brookiana"
"44";"Trogonoptera_trojana"
"45";"Ornithoptera_aesacus"
"46";"Ornithoptera_euphorion"
"47";"Troides_amphrysus"
"48";"Troides_miranda"
"49";"Troides_prattorum"
"50";"Troides_vandepolli"
"51";"Troides_aeacus"
"52";"Troides_minos"
"53";"Troides_criton"
"54";"Troides_rhadamantus"
"55";"Papilio_paradoxa"
"56";"Papilio_eurymedon"
"57";"Papilio_rutulus"
"58";"Papilio_garamas"
"59";"Papilio_homothoas"
"60";"Papilio_cresphontes"
"61";"Papilio_aristodemus"
"62";"Papilio_anchisiades"
"63";"Papilio_erostratus"
"64";"Papilio_pharnaces"
"65";"Papilio_hippocrates"
"66";"Papilio_nireus"
"67";"Papilio_montrouzieri"
"68";"Papilio_ulysses"
"69";"Papilio_buddha"
"70";"Papilio_neumoegeni"
"71";"Papilio_demoleus"
"72";"Papilio_demodocus"
"73";"Papilio_enganius"
"74";"Papilio_aegeus"
"75";"Papilio_gambrisius"
"76";"Papilio_ambrax"
"77";"Papilio_polytes"
"78";"Papilio_demetrius"
"79";"Papilio_protenor"
"80";"Papilio_rumanzovia"
